State,Density
District of Columbia,4251
New Jersey,470
Puerto Rico,404
Rhode Island,394
Massachusetts,336
Guam,314
US Virgin Islands,308
Connecticut,286
American Samoa,279
Maryland,238
Delaware,187
New York,359
Florida,145
Northern Mariana Islands,118
Pennsylvania,110
Ohio,109
California,97
Illinois,89
Hawaii,86
Virginia,81
North Carolina,79
Indiana,71
Georgia,68
Michigan,67
South Carolina,62
Tennessee,61
New Hampshire,57
Kentucky,43
Louisiana,41
Washington,41
Wisconsin,41
Texas,40
Alabama,37
Missouri,34
West Virginia,29
Minnesota,26
Vermont,26
Mississippi,24
Arizona,23
Arkansas,22
Oklahoma,22
Iowa,21
Colorado,20
Maine,16
Oregon,16
Utah,14
Kansas,14
Nevada,10
Nebraska,9
Idaho,7
New Mexico,6
South Dakota,4
North Dakota,4
Montana,2
Wyoming,2
Alaska,1
